pair,issues,first,last,rows,gaps,max_gap,funding_first,funding_unmatched_by_mark,mark_missing_hours
S_USDT_USDT,,2025-01-16 10:00:00+00:00,2026-08-31 23:55:00+00:00,170664,0,0 days 00:05:00,2025-01-16 12:00:00+00:00,0,0
TAO_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
THETA_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
THE_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
TIA_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,174816,1,1 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
TON_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
TRB_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
TRUMP_USDT_USDT,,2025-01-18 13:00:00+00:00,2026-08-31 23:55:00+00:00,170052,0,0 days 00:05:00,2025-01-18 16:00:00+00:00,0,0
TRX_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
TURBO_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
UNI_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
USUAL_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
UXLINK_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
VANA_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
