family,q,hold,n,mean_bp,pf,t,per_day,folds_pos,mean15_bp,adj_bp,long_n,short_n,pass_rel,pass_std
F05_rsi_rev,0.9,12,316,-49.29817438521573,0.7202612927071261,-2.1204354902338496,0.8705234159779615,1,-59.29817438521573,-44.977769630830515,157,159,False,False
F05_rsi_rev,0.95,12,198,-68.89235192437646,0.6565433060985456,-2.1667566501630886,0.5454545454545454,1,-78.89235192437646,-63.30371360483748,101,97,False,False
F05_rsi_rev,0.98,12,104,-84.0274316591718,0.6072993749969043,-1.9076862922175761,0.2865013774104683,1,-94.0274316591718,-74.11617135334942,47,57,False,False
F06_bb_rev,0.8,12,513,-25.153539688165843,0.8393830116864512,-1.4774069670957117,1.4132231404958677,2,-35.153539688165836,-21.15363303084981,260,253,False,False
F06_bb_rev,0.9,12,403,-31.961727944339835,0.8117864595098938,-1.4910340152040629,1.1101928374655647,2,-41.96172794433984,-27.58668028159504,198,205,False,False
F06_bb_rev,0.95,12,300,-44.9199091132532,0.7484001491229045,-1.7732823604820784,0.8264462809917356,1,-54.91990911325318,-42.80496277588021,149,151,False,False
F06_bb_rev,0.98,12,196,-46.79920772261641,0.7555015373601267,-1.400865955773779,0.5399449035812672,1,-56.79920772261641,-44.368364535970244,99,97,False,False
F07_donchian,0.8,12,0,,,,0.0,0,,,0,0,False,False
F07_donchian,0.9,12,0,,,,0.0,0,,,0,0,False,False
F07_donchian,0.95,12,0,,,,0.0,0,,,0,0,False,False
F07_donchian,0.98,12,0,,,,0.0,0,,,0,0,False,False
F08_squeeze_break,0.8,18,158,-41.16638035797776,0.8002250044964586,-1.0352968419191424,0.43526170798898073,2,-51.16638035797776,-46.20733729359942,74,84,False,False
F08_squeeze_break,0.9,18,117,-16.493501434988758,0.9154757357263758,-0.378911410507361,0.32231404958677684,3,-26.493501434988747,-20.729067435834136,49,68,False,False
F08_squeeze_break,0.95,18,90,-20.181111679312792,0.8948721849929394,-0.398705648871699,0.24793388429752067,3,-30.1811116793128,-18.594131505988017,41,49,False,False
F08_squeeze_break,0.98,18,52,41.040104080807886,1.2540682312684415,0.6278982749959229,0.14325068870523416,3,31.040104080807883,40.03363080325767,20,32,False,False
F09_vol_follow,0.8,12,537,2.040324965862001,1.0139427890018284,0.11120589933390726,1.4793388429752066,3,-7.959675034138,0.993914639215123,273,264,False,False
F09_vol_follow,0.9,12,434,12.48529862246424,1.0872319099636116,0.6155121230811957,1.1955922865013775,4,2.485298622464237,11.23554251691285,211,223,False,False
F09_vol_follow,0.95,12,321,9.505831735218834,1.059554943474707,0.35297957900038496,0.8842975206611571,3,-0.4941682647811642,6.365250809064255,161,160,False,False
F09_vol_follow,0.98,12,195,32.60996776728434,1.2136578868906474,0.9129864461863063,0.5371900826446281,4,22.60996776728434,25.752965311600253,110,85,False,False
F10_vol_fade,0.8,12,537,-42.04032496586202,0.752507245335701,-2.291149058055483,1.4793388429752066,1,-52.04032496586201,-40.99391463921514,264,273,False,False
F10_vol_fade,0.9,12,434,-52.48529862246426,0.7020523398646503,-2.584323939888296,1.1955922865013775,2,-62.485298622464256,-51.23554251691287,223,211,False,False
F10_vol_fade,0.95,12,321,-49.50583173521885,0.7388832377771835,-1.8366596954472263,0.8842975206611571,1,-59.505831735218855,-46.36525080906427,160,161,False,False
F10_vol_fade,0.98,12,195,-72.60996776728433,0.6469594267125077,-2.02886034974101,0.5371900826446281,1,-82.60996776728433,-65.75296531160026,85,110,False,False
F11_taker_follow,0.8,12,583,-12.903913975802682,0.9146850133834082,-0.794088408373628,1.606060606060606,2,-22.903913975802677,-17.67759353978958,306,277,False,False
F11_taker_follow,0.9,12,489,-2.5858997615746664,0.9821707492906763,-0.1510884403223736,1.3471074380165289,3,-12.585899761574666,-7.992771724644384,270,219,False,False
F11_taker_follow,0.95,12,372,44.33461994972961,1.3881468865339912,2.241503246449525,1.024793388429752,4,34.33461994972961,40.624265928121275,194,178,True,True
F11_taker_follow,0.98,12,238,25.04004035830345,1.2128668205524717,1.0500652266467743,0.6556473829201102,3,15.040040358303452,19.67531486427021,124,114,False,False
F12_taker_fade,0.8,12,583,-27.09608602419733,0.8289233945075144,-1.6703863289508902,1.606060606060606,2,-37.096086024197334,-22.322406460210434,277,306,False,False
F12_taker_fade,0.9,12,489,-37.41410023842534,0.7705201478507442,-2.1882810542915054,1.3471074380165289,1,-47.414100238425355,-32.00722827535563,219,270,False,False
F12_taker_fade,0.95,12,372,-84.33461994972963,0.5366580718210112,-4.264173165925071,1.024793388429752,0,-94.3346199497296,-80.62426592812129,178,194,False,False
F12_taker_fade,0.98,12,238,-65.04004035830346,0.6043993541359187,-2.7264311800979377,0.6556473829201102,2,-75.04004035830346,-59.67531486427022,114,124,False,False
F13_cvd_div,0.8,12,455,-3.939776915728441,0.9737121117810078,-0.21030612674991864,1.2534435261707988,3,-13.939776915728444,-4.574592589340254,218,237,False,False
