tf,family,q,hold_bars,n,mean_bp,pf,t,per_day,folds_pos,mean15_bp,adj_bp,pass_rel,pass_std
30m,F08_squeeze_break|bars,0.916667,18,256,-15.484310100135621,0.8715278142899738,-0.7757352824014995,0.7052341597796143,2,-25.48431010013562,-16.600585879562008,False,False
30m,F08_squeeze_break|clock,0.989583,36,62,-99.9933222471792,0.5886505304747695,-1.6239319605744083,0.17079889807162535,0,-109.99332224717915,-98.03446716547504,False,False
30m,F08_squeeze_break|clock,0.979167,36,95,-70.06904137103439,0.6732434586742422,-1.4773079905929776,0.26170798898071623,1,-80.06904137103439,-71.88164232144098,False,False
30m,F08_squeeze_break|clock,0.958333,36,148,-55.88367676708802,0.7374249388983314,-1.4102332271942448,0.40771349862258954,2,-65.88367676708802,-58.999936564524006,False,False
30m,F08_squeeze_break|clock,0.916667,36,200,-9.055027764168711,0.9495987936041852,-0.2784660494140881,0.5509641873278237,3,-19.055027764168713,-11.02669064660557,False,False
30m,F09_vol_follow|bars,0.989583,12,251,14.312150590742569,1.1219818147552953,0.6136886687243925,0.6914600550964187,3,4.312150590742572,12.520685722497822,False,False
30m,F09_vol_follow|bars,0.979167,12,391,13.415645055783079,1.132820445411092,0.7910332125931555,1.0771349862258952,4,3.415645055783085,13.893828805916195,False,False
30m,F09_vol_follow|bars,0.958333,12,571,-9.399395794472655,0.9158351557364998,-0.7193927615302131,1.5730027548209367,2,-19.399395794472657,-8.868999940238941,False,False
30m,F09_vol_follow|bars,0.916667,12,796,-28.38785696031434,0.767417783474394,-2.7535967678948983,2.1928374655647382,1,-38.387856960314345,-26.40053060939883,False,False
30m,F09_vol_follow|clock,0.989583,24,226,39.41625490938308,1.2656953786061655,1.2727799765395467,0.6225895316804407,4,29.41625490938308,37.34234276874622,False,False
30m,F09_vol_follow|clock,0.979167,24,327,4.563122222893668,1.0295022331397718,0.1800527773923358,0.9008264462809917,4,-5.436877777106336,6.917471564204976,False,False
30m,F09_vol_follow|clock,0.958333,24,422,17.540179108377856,1.1252921461059169,0.8622537524784616,1.162534435261708,3,7.540179108377859,20.0260311567022,False,False
30m,F09_vol_follow|clock,0.916667,24,502,-35.98538156287809,0.781781420240982,-1.9101873259845215,1.3829201101928374,1,-45.98538156287808,-33.60451099401362,False,False
30m,F10_vol_fade|bars,0.989583,12,251,-54.31215059074258,0.6428350705835745,-2.3369049374959974,0.6914600550964187,0,-64.31215059074258,-52.520685722497824,False,False
30m,F10_vol_fade|bars,0.979167,12,391,-53.4156450557831,0.6073211165753277,-3.1398963230866817,1.0771349862258952,0,-63.4156450557831,-53.8938288059162,False,False
30m,F10_vol_fade|bars,0.958333,12,571,-30.600604205527357,0.751605314092087,-2.3363145795548848,1.5730027548209367,0,-40.60060420552736,-31.131000059761067,False,False
30m,F10_vol_fade|bars,0.916667,12,796,-11.61214303968567,0.8968323909128701,-1.1273196867974415,2.1928374655647382,2,-21.612143039685666,-13.599469390601183,False,False
30m,F10_vol_fade|clock,0.989583,24,226,-79.4162549093831,0.6216675913129839,-2.5633193605986495,0.6225895316804407,1,-89.41625490938311,-77.34234276874625,False,False
30m,F10_vol_fade|clock,0.979167,24,327,-44.56312222289367,0.7522256934189906,-1.7587544079956094,0.9008264462809917,0,-54.56312222289367,-46.91747156420499,False,False
30m,F10_vol_fade|clock,0.958333,24,422,-57.54017910837787,0.6774468059730536,-2.831456828179367,1.162534435261708,0,-67.54017910837787,-60.0260311567022,False,False
30m,F10_vol_fade|clock,0.916667,24,502,-4.014618437121922,0.9730085502728963,-0.21327138217404992,1.3829201101928374,3,-14.014618437121918,-6.395489005986387,False,False
30m,F11_taker_follow|bars,0.989583,12,282,-1.7455294644455355,0.9814067174761857,-0.11106607987997487,0.7768595041322314,3,-11.745529464445532,-3.823898080634187,False,False
30m,F11_taker_follow|bars,0.979167,12,463,-24.75883240057264,0.7633685408354194,-2.060769578894849,1.2754820936639117,2,-34.758832400572636,-25.8226150061569,False,False
