tf,family,q,hold_bars,n,mean_bp,pf,t,per_day,folds_pos,mean15_bp,adj_bp,pass_rel,pass_std
1m,F06_bb_rev|clock,0.998611,720,478,10.342821965934958,1.0735343395455594,0.5444925311868833,1.3168044077134986,3,0.34282196593495856,10.605679132351112,False,False
1m,F06_bb_rev|clock,0.997222,720,568,-29.958583576226413,0.8082096168473998,-1.8150004053888928,1.5647382920110193,1,-39.95858357622641,-26.00923581877156,False,False
1m,F07_donchian|bars,0.999653,12,0,,,,0.0,0,,,False,False
1m,F07_donchian|bars,0.999306,12,0,,,,0.0,0,,,False,False
1m,F07_donchian|bars,0.998611,12,0,,,,0.0,0,,,False,False
1m,F07_donchian|bars,0.997222,12,0,,,,0.0,0,,,False,False
1m,F07_donchian|clock,0.999653,720,0,,,,0.0,0,,,False,False
1m,F07_donchian|clock,0.999306,720,0,,,,0.0,0,,,False,False
1m,F07_donchian|clock,0.998611,720,0,,,,0.0,0,,,False,False
1m,F07_donchian|clock,0.997222,720,0,,,,0.0,0,,,False,False
1m,F08_squeeze_break|bars,0.999653,18,10,-28.160662975573832,0.5271011030358843,-0.7813843596042133,0.027548209366391185,1,-38.160662975573814,-27.42624215676582,False,False
1m,F08_squeeze_break|bars,0.999306,18,21,-4.877393250863508,0.90631157754502,-0.16384706502569252,0.05785123966942149,1,-14.877393250863497,-4.7454870265784095,False,False
1m,F08_squeeze_break|bars,0.998611,18,42,0.9305457428448909,1.0222434791732586,0.05435936109512967,0.11570247933884298,1,-9.069454257155101,1.1878972063717397,False,False
1m,F08_squeeze_break|bars,0.997222,18,82,-11.000524266689501,0.7662941802151794,-0.8997338391496345,0.22589531680440772,0,-21.000524266689492,-10.985337621763202,False,False
1m,F08_squeeze_break|clock,0.999653,1080,10,-71.56069752306485,0.693175166691533,-0.42524159327151045,0.027548209366391185,1,-81.56069752306486,-15.864475959039872,False,False
1m,F08_squeeze_break|clock,0.999306,1080,18,64.36244168295774,1.5180770699017223,0.7078296081648714,0.049586776859504134,1,54.36244168295773,85.23818563417866,False,False
1m,F08_squeeze_break|clock,0.998611,1080,34,-42.31512333663197,0.7856045847105282,-0.5557039584427793,0.09366391184573003,1,-52.315123336631956,-11.460135814692798,False,False
1m,F08_squeeze_break|clock,0.997222,1080,51,-49.35854256909269,0.7491066728048799,-0.8317824366672691,0.14049586776859505,0,-59.35854256909269,-52.144592092784336,False,False
1m,F09_vol_follow|bars,0.999653,12,386,-26.25832604847381,0.3789570007800378,-6.056816192994374,1.0633608815426998,0,-36.2583260484738,-26.308885870338063,False,False
1m,F09_vol_follow|bars,0.999306,12,752,-22.46293734494993,0.4167413425193564,-7.271097745963422,2.071625344352617,0,-32.46293734494993,-22.510559055018575,False,False
1m,F09_vol_follow|bars,0.998611,12,1389,-21.845753606198098,0.4037946551566172,-11.587242733284995,3.8264462809917354,0,-31.845753606198095,-21.8793966350299,False,False
1m,F09_vol_follow|bars,0.997222,12,2550,-21.571886908333077,0.3779037513124928,-15.799230061413255,7.024793388429752,0,-31.571886908333067,-21.617918745459967,False,False
1m,F09_vol_follow|clock,0.999653,720,233,-27.64314643423805,0.8215120240893692,-1.0084874353589723,0.6418732782369146,1,-37.643146434238055,-27.696938558324966,False,False
1m,F09_vol_follow|clock,0.999306,720,347,-57.61765253185733,0.6625700559213146,-2.6368241296278057,0.9559228650137741,1,-67.61765253185733,-59.04076309849655,False,False
1m,F09_vol_follow|clock,0.998611,720,450,-47.62841681280189,0.7205056485555602,-2.4417529868192562,1.2396694214876034,0,-57.62841681280189,-48.279052803429245,False,False
1m,F09_vol_follow|clock,0.997222,720,549,-44.350487750878834,0.7304285772130962,-2.715023899550456,1.512396694214876,0,-54.35048775087884,-49.32460602707698,False,False
1m,F10_vol_fade|bars,0.999653,12,386,-13.741673951526208,0.6003681863759617,-3.24506258549932,1.0633608815426998,1,-23.741673951526202,-13.691114129661944,False,False
1m,F10_vol_fade|bars,0.999306,12,752,-17.537062655050086,0.4988018033434713,-5.548932489601225,2.071625344352617,0,-27.53706265505008,-17.48944094498143,False,False
1m,F10_vol_fade|bars,0.998611,12,1389,-18.154246393801913,0.45919733827617165,-9.523686270190566,3.8264462809917354,0,-28.154246393801913,-18.120603364970105,False,False
