fw,id,name,tr_n,tr_pf,tr_mean,tr_t,va_n,va_pf,va_mean,va_t,tr_pd,va_pd,std,rel,tr_only_rel
r8_bear_adaptive,1833,Trapped_var1833,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1834,Trapped_var1834,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1835,Trapped_var1835,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1836,Trapped_var1836,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1837,Trapped_var1837,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1838,Trapped_var1838,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1839,Trapped_var1839,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1840,Trapped_var1840,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1841,Trapped_var1841,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1842,Trapped_var1842,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1843,Trapped_var1843,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
