round,name,n_tr,mean_bp_tr,med_bp_tr,win_tr,pf_tr,day_t_tr,per_day_tr,status_tr,n_va,mean_bp_va,med_bp_va,win_va,pf_va,day_t_va,per_day_va,status_va
113,HV24 Pinch into Expansion,953,-3.06,-32.44,0.481,0.989,-0.05,3.49,REJECT,694,-192.65,-210.1,0.294,0.325,-1.76,7.71,REJECT
114,CHOP<38 Trend Momentum Cross,603,-127.22,-156.55,0.38,0.638,-2.07,2.21,REJECT,363,-6.97,-45.98,0.46,0.962,-0.11,4.03,REJECT
115,CHOP>62 Range Boundary Fade,60,-28.31,-72.98,0.433,0.86,-0.31,0.22,REJECT,12,-110.33,-33.77,0.5,0.375,-1.23,0.13,REJECT
116,ADX Compression Hook Breakout,2351,-35.17,-39.3,0.467,0.859,-0.99,8.61,REJECT,943,-8.46,-21.68,0.473,0.952,-0.2,10.48,REJECT
117,TTM Squeeze Release + 4h ST,4990,-33.54,-44.01,0.462,0.859,-0.89,18.28,REJECT,1909,-21.52,-47.67,0.45,0.875,-0.42,21.21,REJECT
118,NATR 2.5x Spike Capitulation Snap,172,941.92,1187.16,0.779,7.818,1.03,0.63,PROFITABLE,66,76.35,0.24,0.5,2.005,0.87,0.73,PROFITABLE
119,4h Vol Compression + 1h Donchian,5693,15.08,-21.13,0.487,1.054,0.32,20.85,PROFITABLE,1517,22.82,21.77,0.523,1.119,0.42,16.86,PROFITABLE
120,High-Vol Breakout + SL/TP (2:4),20337,-7.75,-270.0,0.362,0.953,-0.53,74.49,REJECT,5870,-55.74,-270.0,0.294,0.673,-3.11,65.22,REJECT
121,Low-Vol Drift Trend Follow,12362,-42.31,-54.8,0.455,0.857,-1.26,45.28,REJECT,4824,35.0,12.7,0.51,1.175,0.63,53.6,PROFITABLE
122,Donchian Break + Dynamic TP/SL,29621,0.46,-320.0,0.376,1.002,0.03,108.5,PROFITABLE,8721,13.43,-320.0,0.406,1.076,0.36,96.9,PROFITABLE
123,Solid Marubozu Vol Expansion,9535,25.89,-21.9,0.479,1.121,0.7,34.93,PROFITABLE,3048,-73.98,-81.05,0.417,0.646,-1.61,33.87,REJECT
124,GK Vol Spike Exhaustion Rebound,179,-117.54,-150.52,0.307,0.465,-1.25,0.66,REJECT,25,122.64,74.57,0.52,1.956,1.26,0.28,PROFITABLE
125,NR7 Range Expansion Breakout,11847,-5.29,-31.13,0.469,0.974,-0.25,43.4,REJECT,3640,5.23,0.24,0.501,1.035,0.2,40.44,PROFITABLE
126,Vol Pinch + Pre-Vol Building,1880,-40.93,-59.34,0.445,0.818,-1.09,6.89,REJECT,693,-0.59,19.98,0.521,0.996,-0.02,7.7,REJECT
127,Dual 4h/1h MTF Squeeze Break,2104,64.89,40.87,0.533,1.312,1.54,7.71,PASS_TRAIN,951,2.99,-4.79,0.497,1.018,0.05,10.57,PROFITABLE
128,ATR + Volume Surge Momentum,4136,-35.32,-76.57,0.448,0.888,-0.71,15.15,REJECT,2139,-207.21,-155.43,0.331,0.361,-2.58,23.77,REJECT
129,Vol-Adjusted Return Spike Follow,4440,7.33,-20.0,0.483,1.028,0.13,16.26,PROFITABLE,2126,-113.85,-117.53,0.376,0.53,-1.94,23.62,REJECT
130,Regime-Filtered 20-EMA Cross,3336,-56.04,-62.54,0.446,0.794,-1.69,12.22,REJECT,1550,-72.41,-79.87,0.426,0.662,-1.76,17.22,REJECT
131,FR Cum72h < -0.3% Long Rebound,5543,-1.88,-51.11,0.451,0.992,-0.07,20.3,REJECT,3592,-56.53,-108.0,0.404,0.744,-1.4,39.91,REJECT
132,FR Cum72h > +0.3% Short Exhaust,18530,36.19,17.19,0.515,1.167,1.13,67.88,PROFITABLE,3104,32.31,31.16,0.543,1.198,1.0,34.49,PROFITABLE
133,FR 8h Delta Momentum Follow,4666,-19.76,-51.31,0.456,0.929,-0.72,17.09,REJECT,2132,-38.36,-34.18,0.468,0.829,-1.35,23.69,REJECT
134,"Spot-Led Rally (Price Up, FR<=0)",3156,-22.83,-96.89,0.42,0.922,-0.56,11.56,REJECT,1295,-85.52,-140.21,0.377,0.672,-2.07,14.39,REJECT
135,FR<-0.05% Short Squeeze Break,299,-19.79,-187.74,0.381,0.95,-0.28,1.1,REJECT,117,-126.64,-176.04,0.325,0.638,-1.76,1.3,REJECT
136,FR>+0.08% Long Flush Breakdown,37,-238.64,-106.98,0.351,0.578,-0.9,0.14,REJECT,8,492.44,-321.15,0.5,1.964,0.57,0.09,PROFITABLE
137,FR MA Cross + 4h Trend,19867,-38.82,-50.59,0.454,0.845,-1.91,72.77,REJECT,8095,-21.26,-20.0,0.48,0.891,-0.79,89.94,REJECT
