pair,beta_is,corr_is,idio_is,rbstd_is,spread_vol_is,n_is,beta_oos,corr_oos,idio_oos,rbstd_oos,spread_vol_oos,n_oos,liq
FLOWUSDT,0.8900224318679005,0.7490697680856796,0.43889448254007435,0.10974127764919367,0.006140337491556711,7295,0.762414009147833,0.4201693629477681,0.8234577064400606,0.18651816446720831,0.01066910283327952,6936,11183486.3095
FLUXUSDT,1.0125284132246601,0.7215054510458438,0.4794298841111342,0.08563754876918887,0.007579903059921051,7295,0.8587895001951337,0.38297631071541355,0.853329145430809,0.24020169213271547,0.013421771148926932,6936,1582597.1281599998
FORMUSDT,0.41762353891492754,0.19044018549054711,0.9637325357503265,0.728820131367392,0.015575279519972769,5439,0.9039748974388463,0.42984676817008427,0.8152317558937391,0.21135142933987444,0.012302965260152563,6936,6968362.125925
FORTHUSDT,0.678130706551619,0.38775982639294854,0.8496423170357144,0.13805636769487387,0.011498328651222358,4959,0.5008051225273755,0.4615181406651108,0.7870010058369623,0.9943803498408776,0.006237300553975384,6936,690850.3951999999
FUNUSDT,0.361305387556549,0.14826299658890293,0.9780180838424773,0.5704311589908685,0.01763193841856706,5151,0.5056035498848257,0.2996164630220715,0.9102299750860489,0.9481231137396599,0.01043146417903599,6936,3341087.0935595
FUSDT,0.5885896399805678,0.17146898986190917,0.9705983855157383,0.12733251117829633,0.022845454913214897,3251,0.7751609715254868,0.46128159515277267,0.7872192899733039,0.20175382032655553,0.009645272912423184,6936,2706477.675965
FXSUSDT,0.8658552425490069,0.555141181378582,0.6918182687375956,0.16515256776950912,0.010119786658416589,7295,0.20557885250336558,0.32683439880516824,0.8931792757579416,1.9846689416993326,0.0038514821197026474,6936,3013167.77259
GALAUSDT,1.1698713476914788,0.7554509556865374,0.42929385355229566,0.10423056045704601,0.007914849533289164,7295,1.014992543061362,0.7312097575084447,0.46533229052443825,0.17198391460826304,0.006135272792833055,6936,41489008.14875
GASUSDT,0.7343939290105003,0.5445240039511912,0.7034936091209614,0.20018839210023234,0.00882420573985289,7295,0.7355287853506863,0.6207915338987773,0.6146178714396079,0.19435583477261606,0.006018372665286736,6936,3086954.4888
GHSTUSDT,0.9230457620661685,0.6956210740238966,0.5161113213738416,0.11959447113769471,0.007436279303293556,7295,0.3447672057265425,0.31205566745944646,0.9026212604063023,1.3863306614049666,0.006801005562734056,6936,1084617.7434
GLMUSDT,0.7927684139598905,0.6210815885851914,0.6142576603204962,0.13762785932484212,0.007803806137822898,7295,0.6700892831330215,0.5006096813505354,0.7493899469381172,0.267055271673853,0.007507930270822467,6936,3866809.43918
GMTUSDT,0.9934411503988531,0.7123107541768703,0.49261338948397615,0.13522258222900263,0.007635882704498943,7295,0.8863279230040909,0.6098971141559322,0.6280255101442694,0.12742368906922985,0.007461944108309976,6936,8968112.10364
GMXUSDT,0.9705212439650533,0.6413318936572208,0.5886934021780428,0.11021654208182444,0.009057332071013922,7295,0.8640150730716107,0.6974365652489956,0.5135822374536841,0.14385564901233802,0.005752357226486256,6936,2746085.29287
GOATUSDT,1.3720133700414,0.6126319218760771,0.6246821282984223,0.15767560458971927,0.013807713272192592,7295,0.9721372559431202,0.5991988366401286,0.640960754169111,0.23341446105684932,0.00841610646698399,6936,9860137.55933
GPSUSDT,0.8378381677837244,0.35754378790576424,0.8721624397299996,0.15917336366988427,0.01663717508649255,6150,0.5079422619417108,0.22152039983033947,0.9509287124590058,0.6075984584275755,0.014488221503985188,6936,4826240.063144499
GRASSUSDT,1.055308879092949,0.5207135510646891,0.728857397737599,0.1663644103883185,0.013496945482264901,7295,0.9587265049555289,0.40579303369839387,0.8353320138018541,0.26213840531207394,0.013989079120749405,6936,11798312.5644
GRIFFAINUSDT,1.572530564779203,0.5515442211594894,0.6957989721055694,0.17368031936401535,0.018589316083701922,7258,0.9830736546550393,0.42655919349045146,0.8180472544487758,0.2860838687507378,0.01350601951424391,6936,7948754.41075
GRTUSDT,1.0374027214736055,0.7804554805765334,0.3908892428380529,0.10362606349124182,0.0064827549588078095,7295,0.9080341420419307,0.7269821886131754,0.47149689743920287,0.18895632762238546,0.005557232024088751,6936,10821358.09876
GTCUSDT,0.9726068072480321,0.6324008995686298,0.600069102224774,0.14089446505328418,0.009293492586220066,7295,0.7939336807745309,0.3755185215693368,0.858985839958373,0.2856865764121291,0.01269657754689379,6936,3159562.3896
